struct,time,k,N,dim
dumbKNN,338,2,100,1
dumbKNN,648,4,100,1
dumbKNN,1024,8,100,1
dumbKNN,1467,16,100,1
dumbKNN,1952,32,100,1
dumbKNN,2377,64,100,1
dumbKNN,2129,2,1000,1
dumbKNN,4465,4,1000,1
dumbKNN,6860,8,1000,1
dumbKNN,9488,16,1000,1
dumbKNN,12376,32,1000,1
dumbKNN,15980,64,1000,1
dumbKNN,17639,2,10000,1
dumbKNN,35879,4,10000,1
dumbKNN,54609,8,10000,1
dumbKNN,75006,16,10000,1
dumbKNN,96087,32,10000,1
dumbKNN,118076,64,10000,1
dumbKNN,171119,2,100000,1
dumbKNN,342646,4,100000,1
dumbKNN,512894,8,100000,1
dumbKNN,695213,16,100000,1
dumbKNN,880630,32,100000,1
dumbKNN,1071694,64,100000,1
dumbKNN,482,2,100,2
dumbKNN,884,4,100,2
dumbKNN,1330,8,100,2
dumbKNN,1853,16,100,2
dumbKNN,2455,32,100,2
dumbKNN,2928,64,100,2
dumbKNN,3493,2,1000,2
dumbKNN,6664,4,1000,2
dumbKNN,9874,8,1000,2
dumbKNN,13683,16,1000,2
dumbKNN,17828,32,1000,2
dumbKNN,22350,64,1000,2
dumbKNN,26855,2,10000,2
dumbKNN,54477,4,10000,2
dumbKNN,81912,8,10000,2
dumbKNN,112305,16,10000,2
dumbKNN,142593,32,10000,2
dumbKNN,174860,64,10000,2
dumbKNN,237348,2,100000,2
dumbKNN,475589,4,100000,2
dumbKNN,716946,8,100000,2
dumbKNN,965784,16,100000,2
dumbKNN,1220776,32,100000,2
dumbKNN,1480507,64,100000,2
dumbKNN,526,2,100,3
dumbKNN,1068,4,100,3
dumbKNN,1600,8,100,3
dumbKNN,2157,16,100,3
dumbKNN,3125,32,100,3
dumbKNN,3636,64,100,3
dumbKNN,3668,2,1000,3
dumbKNN,7347,4,1000,3
dumbKNN,11511,8,1000,3
dumbKNN,16183,16,1000,3
dumbKNN,20944,32,1000,3
dumbKNN,26190,64,1000,3
dumbKNN,30331,2,10000,3
dumbKNN,61939,4,10000,3
dumbKNN,92896,8,10000,3
dumbKNN,130086,16,10000,3
dumbKNN,167325,32,10000,3
dumbKNN,206547,64,10000,3
dumbKNN,281880,2,100000,3
dumbKNN,563918,4,100000,3
dumbKNN,845583,8,100000,3
dumbKNN,1145960,16,100000,3
dumbKNN,1449974,32,100000,3
dumbKNN,1765387,64,100000,3
dumbKNN,557,2,100,4
dumbKNN,1188,4,100,4
dumbKNN,1735,8,100,4
dumbKNN,2367,16,100,4
dumbKNN,3082,32,100,4
dumbKNN,3721,64,100,4
dumbKNN,4852,2,1000,4
dumbKNN,9295,4,1000,4
dumbKNN,14041,8,1000,4
dumbKNN,19344,16,1000,4
dumbKNN,24901,32,1000,4
dumbKNN,30966,64,1000,4
dumbKNN,37763,2,10000,4
dumbKNN,77150,4,10000,4
dumbKNN,117914,8,10000,4
dumbKNN,162338,16,10000,4
dumbKNN,206246,32,10000,4
dumbKNN,252393,64,10000,4
dumbKNN,342541,2,100000,4
dumbKNN,685151,4,100000,4
dumbKNN,1028424,8,100000,4
dumbKNN,1386242,16,100000,4
dumbKNN,1747686,32,100000,4
dumbKNN,2129885,64,100000,4
dumbKNN,597,2,100,5
dumbKNN,1192,4,100,5
dumbKNN,1814,8,100,5
dumbKNN,2549,16,100,5
dumbKNN,3354,32,100,5
dumbKNN,4076,64,100,5
dumbKNN,4761,2,1000,5
dumbKNN,10011,4,1000,5
dumbKNN,15055,8,1000,5
dumbKNN,20864,16,1000,5
dumbKNN,26953,32,1000,5
dumbKNN,33373,64,1000,5
dumbKNN,41167,2,10000,5
dumbKNN,82119,4,10000,5
dumbKNN,124654,8,10000,5
dumbKNN,172034,16,10000,5
dumbKNN,220759,32,10000,5
dumbKNN,272650,64,10000,5
dumbKNN,374617,2,100000,5
dumbKNN,752195,4,100000,5
dumbKNN,1129271,8,100000,5
dumbKNN,1520598,16,100000,5
dumbKNN,1916117,32,100000,5
dumbKNN,2322412,64,100000,5
dumbKNN,727,2,100,6
dumbKNN,1383,4,100,6
dumbKNN,2103,8,100,6
dumbKNN,2931,16,100,6
dumbKNN,3755,32,100,6
dumbKNN,4821,64,100,6
dumbKNN,5288,2,1000,6
dumbKNN,10670,4,1000,6
dumbKNN,16025,8,1000,6
dumbKNN,21964,16,1000,6
dumbKNN,28198,32,1000,6
dumbKNN,35549,64,1000,6
dumbKNN,45648,2,10000,6
dumbKNN,94078,4,10000,6
dumbKNN,141250,8,10000,6
dumbKNN,190803,16,10000,6
dumbKNN,242725,32,10000,6
dumbKNN,302194,64,10000,6
dumbKNN,405516,2,100000,6
dumbKNN,810661,4,100000,6
dumbKNN,1216098,8,100000,6
dumbKNN,1638633,16,100000,6
dumbKNN,2067520,32,100000,6
dumbKNN,2512541,64,100000,6
dumbKNN,721,2,100,7
dumbKNN,1457,4,100,7
dumbKNN,2395,8,100,7
dumbKNN,3287,16,100,7
dumbKNN,4270,32,100,7
dumbKNN,5155,64,100,7
dumbKNN,6488,2,1000,7
dumbKNN,12861,4,1000,7
dumbKNN,19143,8,1000,7
dumbKNN,26611,16,1000,7
dumbKNN,34612,32,1000,7
dumbKNN,42673,64,1000,7
dumbKNN,52612,2,10000,7
dumbKNN,105408,4,10000,7
dumbKNN,160014,8,10000,7
dumbKNN,220093,16,10000,7
dumbKNN,280806,32,10000,7
dumbKNN,345651,64,10000,7
dumbKNN,487615,2,100000,7
dumbKNN,975003,4,100000,7
dumbKNN,1468144,8,100000,7
dumbKNN,1986404,16,100000,7
dumbKNN,2505794,32,100000,7
dumbKNN,3036217,64,100000,7
bucketKNN,4597,2,100,1
bucketKNN,9061,4,100,1
bucketKNN,13624,8,100,1
bucketKNN,18399,16,100,1
bucketKNN,23099,32,100,1
bucketKNN,27492,64,100,1
bucketKNN,24900,2,1000,1
bucketKNN,49649,4,1000,1
bucketKNN,74401,8,1000,1
bucketKNN,99340,16,1000,1
bucketKNN,123832,32,1000,1
bucketKNN,148994,64,1000,1
bucketKNN,23321,2,10000,1
bucketKNN,45984,4,10000,1
bucketKNN,68873,8,10000,1
bucketKNN,92874,16,10000,1
bucketKNN,115758,32,10000,1
bucketKNN,138656,64,10000,1
bucketKNN,26912,2,100000,1
bucketKNN,57917,4,100000,1
bucketKNN,84927,8,100000,1
bucketKNN,112133,16,100000,1
bucketKNN,139022,32,100000,1
bucketKNN,166149,64,100000,1
bucketKNN,5902,2,100,2
bucketKNN,11775,4,100,2
bucketKNN,17820,8,100,2
bucketKNN,24145,16,100,2
bucketKNN,30169,32,100,2
bucketKNN,36171,64,100,2
bucketKNN,50602,2,1000,2
bucketKNN,101206,4,1000,2
bucketKNN,151844,8,1000,2
bucketKNN,202086,16,1000,2
bucketKNN,252816,32,1000,2
bucketKNN,303438,64,1000,2
bucketKNN,99297,2,10000,2
bucketKNN,198391,4,10000,2
bucketKNN,297116,8,10000,2
bucketKNN,396179,16,10000,2
bucketKNN,495840,32,10000,2
bucketKNN,598551,64,10000,2
bucketKNN,148012,2,100000,2
bucketKNN,295681,4,100000,2
bucketKNN,444387,8,100000,2
bucketKNN,593179,16,100000,2
bucketKNN,740787,32,100000,2
bucketKNN,888304,64,100000,2
bucketKNN,3798,2,100,3
bucketKNN,7754,4,100,3
bucketKNN,11624,8,100,3
bucketKNN,15554,16,100,3
bucketKNN,19652,32,100,3
bucketKNN,23515,64,100,3
bucketKNN,47661,2,1000,3
bucketKNN,95726,4,1000,3
bucketKNN,144053,8,1000,3
bucketKNN,192051,16,1000,3
bucketKNN,239712,32,1000,3
bucketKNN,286997,64,1000,3
bucketKNN,239144,2,10000,3
bucketKNN,477746,4,10000,3
bucketKNN,716510,8,10000,3
bucketKNN,955012,16,10000,3
bucketKNN,1191321,32,10000,3
bucketKNN,1427970,64,10000,3
bucketKNN,448226,2,100000,3
bucketKNN,898031,4,100000,3
bucketKNN,1345828,8,100000,3
bucketKNN,1796560,16,100000,3
bucketKNN,2247130,32,100000,3
bucketKNN,2694157,64,100000,3
bucketKNN,4625,2,100,4
bucketKNN,9276,4,100,4
bucketKNN,13870,8,100,4
bucketKNN,18471,16,100,4
bucketKNN,23160,32,100,4
bucketKNN,27575,64,100,4
bucketKNN,52200,2,1000,4
bucketKNN,104176,4,1000,4
bucketKNN,156645,8,1000,4
bucketKNN,208547,16,1000,4
bucketKNN,261184,32,1000,4
bucketKNN,313181,64,1000,4
bucketKNN,478030,2,10000,4
bucketKNN,957848,4,10000,4
bucketKNN,1435561,8,10000,4
bucketKNN,1912840,16,10000,4
bucketKNN,2390287,32,10000,4
bucketKNN,2866023,64,10000,4
bucketKNN,2132755,2,100000,4
bucketKNN,4268345,4,100000,4
bucketKNN,6404858,8,100000,4
bucketKNN,8544412,16,100000,4
bucketKNN,10686440,32,100000,4
bucketKNN,12820170,64,100000,4
bucketKNN,4041,2,100,5
bucketKNN,8367,4,100,5
bucketKNN,12385,8,100,5
bucketKNN,16475,16,100,5
bucketKNN,20581,32,100,5
bucketKNN,24766,64,100,5
bucketKNN,50900,2,1000,5
bucketKNN,101939,4,1000,5
bucketKNN,153171,8,1000,5
bucketKNN,204547,16,1000,5
bucketKNN,256066,32,1000,5
bucketKNN,307204,64,1000,5
bucketKNN,626781,2,10000,5
bucketKNN,1254493,4,10000,5
bucketKNN,1879399,8,10000,5
bucketKNN,2503764,16,10000,5
bucketKNN,3133203,32,10000,5
bucketKNN,3759464,64,10000,5
bucketKNN,3176434,2,100000,5
bucketKNN,6351977,4,100000,5
bucketKNN,9530744,8,100000,5
bucketKNN,12705562,16,100000,5
bucketKNN,15884079,32,100000,5
bucketKNN,19060868,64,100000,5
bucketKNN,3898,2,100,6
bucketKNN,7709,4,100,6
bucketKNN,11790,8,100,6
bucketKNN,15875,16,100,6
bucketKNN,19855,32,100,6
bucketKNN,23727,64,100,6
bucketKNN,50498,2,1000,6
bucketKNN,100749,4,1000,6
bucketKNN,151258,8,1000,6
bucketKNN,201785,16,1000,6
bucketKNN,252995,32,1000,6
bucketKNN,303655,64,1000,6
bucketKNN,635171,2,10000,6
bucketKNN,1270072,4,10000,6
bucketKNN,1901986,8,10000,6
bucketKNN,2540978,16,10000,6
bucketKNN,3171667,32,10000,6
bucketKNN,3806127,64,10000,6
bucketKNN,4790270,2,100000,6
bucketKNN,9580388,4,100000,6
bucketKNN,14391870,8,100000,6
bucketKNN,19181711,16,100000,6
bucketKNN,23985577,32,100000,6
bucketKNN,28770638,64,100000,6
bucketKNN,4706,2,100,7
bucketKNN,8998,4,100,7
bucketKNN,13484,8,100,7
bucketKNN,17676,16,100,7
bucketKNN,22289,32,100,7
bucketKNN,26480,64,100,7
bucketKNN,55677,2,1000,7
bucketKNN,111502,4,1000,7
bucketKNN,167218,8,1000,7
bucketKNN,222876,16,1000,7
bucketKNN,278331,32,1000,7
bucketKNN,334451,64,1000,7
bucketKNN,654802,2,10000,7
bucketKNN,1307470,4,10000,7
bucketKNN,1961098,8,10000,7
bucketKNN,2616643,16,10000,7
bucketKNN,3271009,32,10000,7
bucketKNN,3925079,64,10000,7
bucketKNN,8415231,2,100000,7
bucketKNN,16862481,4,100000,7
bucketKNN,25280318,8,100000,7
bucketKNN,33693038,16,100000,7
bucketKNN,42110591,32,100000,7
bucketKNN,50508329,64,100000,7
quadTree,760,2,100,2
quadTree,1691,4,100,2
quadTree,2533,8,100,2
quadTree,3631,16,100,2
quadTree,4665,32,100,2
quadTree,5747,64,100,2
quadTree,5897,2,1000,2
quadTree,12331,4,1000,2
quadTree,19093,8,1000,2
quadTree,26818,16,1000,2
quadTree,35906,32,1000,2
quadTree,45996,64,1000,2
quadTree,55697,2,10000,2
quadTree,113912,4,10000,2
quadTree,174524,8,10000,2
quadTree,240106,16,10000,2
quadTree,309102,32,10000,2
quadTree,385178,64,10000,2
quadTree,565264,2,100000,2
quadTree,1142023,4,100000,2
quadTree,1724994,8,100000,2
quadTree,2311543,16,100000,2
quadTree,2924579,32,100000,2
quadTree,3558377,64,100000,2
kdTree,111,2,100,1
kdTree,696,4,100,1
kdTree,1456,8,100,1
kdTree,2250,16,100,1
kdTree,3074,32,100,1
kdTree,4228,64,100,1
kdTree,187,2,1000,1
kdTree,2430,4,1000,1
kdTree,11621,8,1000,1
kdTree,20892,16,1000,1
kdTree,31144,32,1000,1
kdTree,42326,64,1000,1
kdTree,278,2,10000,1
kdTree,6375,4,10000,1
kdTree,78027,8,10000,1
kdTree,167877,16,10000,1
kdTree,262664,32,10000,1
kdTree,367572,64,10000,1
kdTree,411,2,100000,1
kdTree,14739,4,100000,1
kdTree,452577,8,100000,1
kdTree,1398342,16,100000,1
kdTree,2360167,32,100000,1
kdTree,3415809,64,100000,1
kdTree,270,2,100,2
kdTree,853,4,100,2
kdTree,1603,8,100,2
kdTree,2622,16,100,2
kdTree,4089,32,100,2
kdTree,5710,64,100,2
kdTree,942,2,1000,2
kdTree,2986,4,1000,2
kdTree,9687,8,1000,2
kdTree,15060,16,1000,2
kdTree,22576,32,1000,2
kdTree,32666,64,1000,2
kdTree,3259,2,10000,2
kdTree,10763,4,10000,2
kdTree,23678,8,10000,2
kdTree,44335,16,10000,2
kdTree,75029,32,10000,2
kdTree,118165,64,10000,2
kdTree,5364,2,100000,2
kdTree,24802,4,100000,2
kdTree,64755,8,100000,2
kdTree,136636,16,100000,2
kdTree,242443,32,100000,2
kdTree,404454,64,100000,2
kdTree,545,2,100,3
kdTree,1231,4,100,3
kdTree,2305,8,100,3
kdTree,3856,16,100,3
kdTree,5478,32,100,3
kdTree,7094,64,100,3
kdTree,1028,2,1000,3
kdTree,3114,4,1000,3
kdTree,6290,8,1000,3
kdTree,11321,16,1000,3
kdTree,18877,32,1000,3
kdTree,29766,64,1000,3
kdTree,3103,2,10000,3
kdTree,8023,4,10000,3
kdTree,17322,8,10000,3
kdTree,35790,16,10000,3
kdTree,58789,32,10000,3
kdTree,93700,64,10000,3
kdTree,6214,2,100000,3
kdTree,18088,4,100000,3
kdTree,40293,8,100000,3
kdTree,77187,16,100000,3
kdTree,136728,32,100000,3
kdTree,235643,64,100000,3
kdTree,510,2,100,4
kdTree,1408,4,100,4
kdTree,2450,8,100,4
kdTree,3899,16,100,4
kdTree,5779,32,100,4
kdTree,7821,64,100,4
kdTree,2557,2,1000,4
kdTree,6653,4,1000,4
kdTree,11602,8,1000,4
kdTree,18726,16,1000,4
kdTree,28727,32,1000,4
kdTree,43017,64,1000,4
kdTree,5295,2,10000,4
kdTree,13052,4,10000,4
kdTree,23916,8,10000,4
kdTree,40804,16,10000,4
kdTree,66377,32,10000,4
kdTree,105986,64,10000,4
kdTree,9917,2,100000,4
kdTree,25119,4,100000,4
kdTree,49515,8,100000,4
kdTree,87628,16,100000,4
kdTree,145209,32,100000,4
kdTree,236711,64,100000,4
kdTree,704,2,100,5
kdTree,1446,4,100,5
kdTree,2400,8,100,5
kdTree,3944,16,100,5
kdTree,6062,32,100,5
kdTree,8779,64,100,5
kdTree,3378,2,1000,5
kdTree,7750,4,1000,5
kdTree,13530,8,1000,5
kdTree,21687,16,1000,5
kdTree,32675,32,1000,5
kdTree,47766,64,1000,5
kdTree,7697,2,10000,5
kdTree,18848,4,10000,5
kdTree,35474,8,10000,5
kdTree,58109,16,10000,5
kdTree,90958,32,10000,5
kdTree,139178,64,10000,5
kdTree,13551,2,100000,5
kdTree,36300,4,100000,5
kdTree,70018,8,100000,5
kdTree,118822,16,100000,5
kdTree,189791,32,100000,5
kdTree,297157,64,100000,5
kdTree,838,2,100,6
kdTree,1770,4,100,6
kdTree,3119,8,100,6
kdTree,4870,16,100,6
kdTree,30088,32,100,6
kdTree,32530,64,100,6
kdTree,4667,2,1000,6
kdTree,10720,4,1000,6
kdTree,18374,8,1000,6
kdTree,28126,16,1000,6
kdTree,41089,32,1000,6
kdTree,57373,64,1000,6
kdTree,13699,2,10000,6
kdTree,31667,4,10000,6
kdTree,55111,8,10000,6
kdTree,86393,16,10000,6
kdTree,130009,32,10000,6
kdTree,190880,64,10000,6
kdTree,30745,2,100000,6
kdTree,72257,4,100000,6
kdTree,126634,8,100000,6
kdTree,200103,16,100000,6
kdTree,303722,32,100000,6
kdTree,447645,64,100000,6
kdTree,770,2,100,7
kdTree,1749,4,100,7
kdTree,3120,8,100,7
kdTree,5680,16,100,7
kdTree,8241,32,100,7
kdTree,11296,64,100,7
kdTree,5883,2,1000,7
kdTree,13331,4,1000,7
kdTree,21985,8,1000,7
kdTree,32700,16,1000,7
kdTree,46192,32,1000,7
kdTree,64523,64,1000,7
kdTree,22388,2,10000,7
kdTree,50600,4,10000,7
kdTree,85284,8,10000,7
kdTree,130739,16,10000,7
kdTree,188291,32,10000,7
kdTree,263337,64,10000,7
kdTree,52789,2,100000,7
kdTree,120901,4,100000,7
kdTree,208168,8,100000,7
kdTree,322554,16,100000,7
kdTree,473788,32,100000,7
kdTree,681625,64,100000,7
