struct,time,k,N,dim
dumbKNN,367,2,100,1
dumbKNN,662,4,100,1
dumbKNN,1122,8,100,1
dumbKNN,1615,16,100,1
dumbKNN,2152,32,100,1
dumbKNN,2722,64,100,1
dumbKNN,2091,2,1000,1
dumbKNN,4159,4,1000,1
dumbKNN,6377,8,1000,1
dumbKNN,9116,16,1000,1
dumbKNN,12265,32,1000,1
dumbKNN,16080,64,1000,1
dumbKNN,18395,2,10000,1
dumbKNN,36387,4,10000,1
dumbKNN,54534,8,10000,1
dumbKNN,74737,16,10000,1
dumbKNN,95187,32,10000,1
dumbKNN,116310,64,10000,1
dumbKNN,171252,2,100000,1
dumbKNN,343244,4,100000,1
dumbKNN,515572,8,100000,1
dumbKNN,702142,16,100000,1
dumbKNN,884975,32,100000,1
dumbKNN,1073056,64,100000,1
dumbKNN,436,2,100,2
dumbKNN,922,4,100,2
dumbKNN,1398,8,100,2
dumbKNN,1970,16,100,2
dumbKNN,2642,32,100,2
dumbKNN,3344,64,100,2
dumbKNN,3288,2,1000,2
dumbKNN,6063,4,1000,2
dumbKNN,8966,8,1000,2
dumbKNN,12337,16,1000,2
dumbKNN,16010,32,1000,2
dumbKNN,20191,64,1000,2
dumbKNN,24637,2,10000,2
dumbKNN,49909,4,10000,2
dumbKNN,75389,8,10000,2
dumbKNN,102058,16,10000,2
dumbKNN,130468,32,10000,2
dumbKNN,159589,64,10000,2
dumbKNN,241569,2,100000,2
dumbKNN,484286,4,100000,2
dumbKNN,726244,8,100000,2
dumbKNN,976925,16,100000,2
dumbKNN,1231436,32,100000,2
dumbKNN,1486482,64,100000,2
dumbKNN,463,2,100,3
dumbKNN,938,4,100,3
dumbKNN,1497,8,100,3
dumbKNN,2207,16,100,3
dumbKNN,3330,32,100,3
dumbKNN,4174,64,100,3
dumbKNN,3199,2,1000,3
dumbKNN,6443,4,1000,3
dumbKNN,10028,8,1000,3
dumbKNN,14200,16,1000,3
dumbKNN,18968,32,1000,3
dumbKNN,23897,64,1000,3
dumbKNN,29719,2,10000,3
dumbKNN,58900,4,10000,3
dumbKNN,87820,8,10000,3
dumbKNN,121179,16,10000,3
dumbKNN,153400,32,10000,3
dumbKNN,187408,64,10000,3
dumbKNN,281427,2,100000,3
dumbKNN,562918,4,100000,3
dumbKNN,845209,8,100000,3
dumbKNN,1137955,16,100000,3
dumbKNN,1432897,32,100000,3
dumbKNN,1730501,64,100000,3
dumbKNN,551,2,100,4
dumbKNN,1186,4,100,4
dumbKNN,1853,8,100,4
dumbKNN,2633,16,100,4
dumbKNN,3523,32,100,4
dumbKNN,4478,64,100,4
dumbKNN,3841,2,1000,4
dumbKNN,7824,4,1000,4
dumbKNN,11910,8,1000,4
dumbKNN,16643,16,1000,4
dumbKNN,21827,32,1000,4
dumbKNN,27485,64,1000,4
dumbKNN,35287,2,10000,4
dumbKNN,71182,4,10000,4
dumbKNN,108875,8,10000,4
dumbKNN,149591,16,10000,4
dumbKNN,188678,32,10000,4
dumbKNN,228992,64,10000,4
dumbKNN,343008,2,100000,4
dumbKNN,693225,4,100000,4
dumbKNN,1038411,8,100000,4
dumbKNN,1399301,16,100000,4
dumbKNN,1758909,32,100000,4
dumbKNN,2122983,64,100000,4
dumbKNN,645,2,100,5
dumbKNN,1247,4,100,5
dumbKNN,1987,8,100,5
dumbKNN,2854,16,100,5
dumbKNN,3858,32,100,5
dumbKNN,5054,64,100,5
dumbKNN,4353,2,1000,5
dumbKNN,8729,4,1000,5
dumbKNN,13299,8,1000,5
dumbKNN,18489,16,1000,5
dumbKNN,24038,32,1000,5
dumbKNN,30384,64,1000,5
dumbKNN,38496,2,10000,5
dumbKNN,77534,4,10000,5
dumbKNN,116964,8,10000,5
dumbKNN,158289,16,10000,5
dumbKNN,200397,32,10000,5
dumbKNN,244098,64,10000,5
dumbKNN,377608,2,100000,5
dumbKNN,759427,4,100000,5
dumbKNN,1140415,8,100000,5
